text,label,scam_type
"Our AI trading bot has a 98% win rate. Invest Rs 1,00,000 today and double it in a week. DM now for the link.",1,investment_scam
Happy birthday Karan! Hope you have an amazing day. Let's catch up this weekend.,0,safe
hey are you around this weekend? thinking of heading to Austin for a short trip,0,safe
We are delighted to inform you that your mobile number has been selected in our periodic lucky draw and you are entitled to a cash prize of $75. Kindly complete the claim form at http://acc0unt-verify.in.,1,lottery_scam
"quick one - can you approve the Rs 25,000 invoice on the portal when you get a sec, no rush",0,safe
"Dear Candidate,

We are pleased to inform you that you have been selected for the position of Part-Time Content Reviewer at our Austin branch. To proceed with your appointment, a refundable security deposit of $75 is required.

Regards,
Hiring Team",1,job_scam
"Your antivirus subscription has expired, your PC is unprotected. Call now and pay $150 to renew and remove detected threats.",1,tech_support_scam
"Hi, this is Meera from customer support. We need to confirm your identity, please share the OTP sent to your phone.",1,other
This is an official notice from the Income Tax Department. You have a pending refund of $75. Verify your PAN and bank details at linkedin-jobs-apply.co,1,govt_impersonation
"Sweetheart, I wanted to visit you next month but my card is having issues here, could you send $9,999 so I can book the flight, I'll pay you back the moment I land.",1,romance_scam
Congratulations Tom! You are shortlisted for Data Entry Executive with $500/day. Register now by paying a refundable deposit at linkedin-jobs-apply.co,1,job_scam
Amazon Delivery: We attempted delivery but failed. Reschedule and confirm your address at http://acc0unt-verify.in within this week or the parcel will be returned.,1,delivery_scam
We are delighted to inform you that your mobile number has been selected in our periodic lucky draw and you are entitled to a cash prize of $75. Kindly complete the claim form at amaz0n-delivery-track.com.,1,lottery_scam
ICICI Bank: Your account was credited with $150 on 12-Aug-2026. Available balance: $150. Thank you for banking with us.,0,safe
"Your Axis Bank card ending 4521 was used for a purchase of Rs 49,999 at a local store today.",0,safe
"Your antivirus subscription has expired, your PC is unprotected. Call now and pay $500 to renew and remove detected threats.",1,tech_support_scam
"Hi Vikram, are we still meeting for lunch tomorrow at 1pm?",0,safe
"Reminder: Your gym membership renews automatically next week for Rs 9,999. No action needed.",0,safe
URGENT: Your Paytm/GPay account will be deactivated this week. Verify by entering UPI PIN at amaz0n-delivery-track.com,1,upi_payment_scam
Your monthly statement for Kotak Mahindra is now available in the mobile app under Statements.,0,safe
"SBI here. We noticed a login from a new device on your account. If this wasn't you, please confirm your details at bit.ly/verify-now.",1,banking_scam
"ICICI Bank here. We noticed a login from a new device on your account. If this wasn't you, please confirm your details at paytm-cashback-offer.xyz.",1,banking_scam
"Dear Valued Customer,

As part of our routine security review, we have identified irregular activity associated with your Wells Fargo account. To ensure uninterrupted access to your banking services, we kindly request you to complete a short identity verification process within 24 hours.

Please proceed here: linkedin-jobs-apply.co

Thank you for your cooperation.
Customer Care Team",1,banking_scam
"Free Rs 9,999 recharge for the first 100 users! Click amaz0n-delivery-track.com and share with 10 friends to claim.",1,other
"Limited time offer: Get $2,450 cashback on your next purchase, just verify your card details at amaz0n-delivery-track.com",1,other
"We are delighted to inform you that your mobile number has been selected in our periodic lucky draw and you are entitled to a cash prize of Rs 49,999. Kindly complete the claim form at linkedin-jobs-apply.co.",1,lottery_scam
"Your Chase Bank card ending 4521 was used for a purchase of Rs 3,200 at a local store today.",0,safe
"Reminder: performance review meeting with your manager is scheduled for within 30 minutes in Pune office, room 4B.",0,safe
"ALERT: Your Citibank debit card will be blocked before midnight. Click irs-refund-claim.info and enter your card number, CVV and PIN to reactivate.",1,banking_scam
"Sweetheart, I wanted to visit you next month but my card is having issues here, could you send Rs 9,999 so I can book the flight, I'll pay you back the moment I land.",1,romance_scam
"Sana, following up on our call, the delivery for the Austin office supplies should reach by Friday as planned.",0,safe
Welcome to the team! Your first day orientation for the Online Form Filling Agent role starts Monday at 9 AM in the Austin office.,0,safe
"Hi Anjali, just a heads up your bank statement shows a pending investment SIP deduction of Rs 25,000 on the 5th as usual, nothing to action.",0,safe
"Amit, following up on our call, the delivery for the Austin office supplies should reach by Friday as planned.",0,safe
"Reminder: performance review meeting with your manager is scheduled for immediately in Bangalore office, room 4B.",0,safe
Congratulations Meera! You are shortlisted for Work From Home Assistant with $75/day. Register now by paying a refundable deposit at linkedin-jobs-apply.co,1,job_scam
"hey love, missing you so much today. quick thing, customs is holding a package with gifts for you and I just need $2,450 to release it, can you help?",1,romance_scam
India Post: Your order has been shipped and is expected to arrive by Thursday. Track it in the app under 'My Orders'.,0,safe
"Congratulations! Your number has won Rs 25,000 in the international lottery. Send your bank details to http://acc0unt-verify.in to claim your prize by today 6 PM.",1,lottery_scam
"Hi Karan, just a heads up your bank statement shows a pending investment SIP deduction of Rs 1,00,000 on the 5th as usual, nothing to action.",0,safe
This is a reminder that your library book is due back in 3 days.,0,safe
"Limited time offer: Get Rs 3,200 cashback on your next purchase, just verify your card details at irs-refund-claim.info",1,other
"Reminder: performance review meeting with your manager is scheduled for by tomorrow in Delhi office, room 4B.",0,safe
"Reminder: performance review meeting with your manager is scheduled for before the offer closes in Bangalore office, room 4B.",0,safe
Reminder: Your gym membership renews automatically next week for $500. No action needed.,0,safe
"hey have you heard about this new trading platform? my cousin doubled his savings in in the next 2 hours, group link is http://acc0unt-verify.in if u wanna join",1,investment_scam
"Hey Karan, don't forget we have the team meeting at 10am tomorrow. Bring your laptop, it's kind of urgent we finalize the slides.",0,safe
"Neha, following up on our call, the delivery for the Mumbai office supplies should reach by Friday as planned.",0,safe
"Sana, following up on our call, the delivery for the Mumbai office supplies should reach by Friday as planned.",0,safe
"Dear Candidate,

We are pleased to inform you that you have been selected for the position of Social Media Assistant at our Bangalore branch. To proceed with your appointment, a refundable security deposit of $150 is required.

Regards,
Hiring Team",1,job_scam
FedEx: Your package could not be delivered due to an incomplete address. Update your details and pay a redelivery fee at paytm-cashback-offer.xyz,1,delivery_scam
"ALERT: Your Kotak Mahindra debit card will be blocked before midnight. Click http://acc0unt-verify.in and enter your card number, CVV and PIN to reactivate.",1,banking_scam
ICICI Bank: Your account was credited with $75 on 12-Aug-2026. Available balance: $75. Thank you for banking with us.,0,safe
"Hi Anjali, just a heads up your bank statement shows a pending investment SIP deduction of $9,999 on the 5th as usual, nothing to action.",0,safe
"Dear Candidate,

We are pleased to inform you that you have been selected for the position of Online Form Filling Agent at our Mumbai branch. To proceed with your appointment, a refundable security deposit of $9,999 is required.

Regards,
Hiring Team",1,job_scam
"Hi, this is David from customer support. We need to confirm your identity, please share the OTP sent to your phone.",1,other
We detected a login attempt to your Facebook account from an unrecognized device. Confirm your password at instagram-verify-account.live immediately or lose access.,1,account_takeover
"hey have you heard about this new trading platform? my cousin doubled his savings in before the offer closes, group link is bit.ly/verify-now if u wanna join",1,investment_scam
"Hi, this is regarding your Kotak Mahindra account review. Kindly complete the pending verification at amaz0n-delivery-track.com at your convenience.",1,banking_scam
"Hi John, just a heads up your bank statement shows a pending investment SIP deduction of $2,450 on the 5th as usual, nothing to action.",0,safe
"We are pleased to introduce an exclusive investment opportunity offering consistent 30-40% monthly returns, backed by our proprietary trading algorithm. Minimum investment $9,999. Learn more at amaz0n-delivery-track.com.",1,investment_scam
"hey saw ur resume online, we're hiring for Social Media Assistant, pay is good, just need a small deposit to activate ur offer letter, interested?",1,job_scam
URGENT: Your Paytm/GPay account will be deactivated this week. Verify by entering UPI PIN at irs-refund-claim.info,1,upi_payment_scam
This is an official notice from the Income Tax Department. You have a pending refund of $150. Verify your PAN and bank details at bit.ly/verify-now,1,govt_impersonation
"CLAIM NOW: Your mobile number has won $9,999 in the WhatsApp lucky draw. Contact our agent immediately at http://acc0unt-verify.in",1,lottery_scam
"Anjali, I made $2,450 in a month with this stock tip group, thought you might be interested too, here's the link if you want to check it out http://acc0unt-verify.in",1,investment_scam
"Your parcel is on hold at customs. Pay a clearance fee of Rs 1,00,000 at hdfcbank-kyc-update.net to release it in the next 2 hours.",1,delivery_scam
"We are delighted to inform you that your mobile number has been selected in our periodic lucky draw and you are entitled to a cash prize of $9,999. Kindly complete the claim form at instagram-verify-account.live.",1,lottery_scam
"Dear customer, your Bank of America account has been temporarily suspended due to unusual activity. Verify your identity by today 6 PM at myaccount-securehelp.top to avoid permanent block.",1,banking_scam
"hey loved catching up yesterday, let's plan that trip properly soon",0,safe
Your account has violated our community guidelines and will be suspended. Verify your identity and password within immediately at paytm-cashback-offer.xyz,1,account_takeover
You've been selected as the lucky winner of the Flipkart anniversary lottery worth $500. Claim now at http://acc0unt-verify.in,1,lottery_scam
"Dear Customer,

Your recent order is currently held at our New York facility due to an outstanding customs duty of $500. Please settle this amount at your earliest convenience to release your shipment.

secure-update-bank.com

Amazon Logistics",1,delivery_scam
"Turn Rs 3,200 into Rs 3,200 in 7 days! Join our exclusive crypto trading group now: http://acc0unt-verify.in. Guaranteed returns, limited seats!",1,investment_scam
"Amit: Can you send me the report before end of day? It's urgent, the client meeting got moved up. Thanks!",0,safe
Your HDFC Bank card ending 4521 was used for a purchase of $500 at a local store today.,0,safe
Reminder: Your gym membership renews automatically next week for $150. No action needed.,0,safe
"PNB: Your account was credited with Rs 1,00,000 on 12-Aug-2026. Available balance: Rs 1,00,000. Thank you for banking with us.",0,safe
"Turn $75 into $75 in 7 days! Join our exclusive crypto trading group now: secure-update-bank.com. Guaranteed returns, limited seats!",1,investment_scam
"hey have you heard about this new trading platform? my cousin doubled his savings in within 24 hours, group link is irs-refund-claim.info if u wanna join",1,investment_scam
"Hi Emma, just a heads up your bank statement shows a pending investment SIP deduction of Rs 25,000 on the 5th as usual, nothing to action.",0,safe
"hey is this your number? sent $500 to you by accident on gpay, pls send back using this link instagram-verify-account.live",1,upi_payment_scam
"CLAIM NOW: Your mobile number has won Rs 9,999 in the WhatsApp lucky draw. Contact our agent immediately at amaz0n-delivery-track.com",1,lottery_scam
Account team: please review the recent access request on your file and confirm ownership at instagram-verify-account.live when you get a chance.,1,phishing
"ALERT: Your Bank of America debit card will be blocked in the next 2 hours. Click paytm-cashback-offer.xyz and enter your card number, CVV and PIN to reactivate.",1,banking_scam
"hey love, missing you so much today. quick thing, customs is holding a package with gifts for you and I just need Rs 49,999 to release it, can you help?",1,romance_scam
Welcome to the team! Your first day orientation for the Work From Home Assistant role starts Monday at 9 AM in the Delhi office.,0,safe
"hey have you heard about this new trading platform? my cousin doubled his savings in this week, group link is myaccount-securehelp.top if u wanna join",1,investment_scam
Blue Dart: Your package could not be delivered due to an incomplete address. Update your details and pay a redelivery fee at bit.ly/verify-now,1,delivery_scam
"This is an official notice from the Income Tax Department. You have a pending refund of $9,999. Verify your PAN and bank details at instagram-verify-account.live",1,govt_impersonation
"Bank of America: Your account was credited with Rs 25,000 on 12-Aug-2026. Available balance: Rs 25,000. Thank you for banking with us.",0,safe
You've been selected as the lucky winner of the Blue Dart anniversary lottery worth $75. Claim now at bit.ly/verify-now,1,lottery_scam
"Turn $500 into $500 in 7 days! Join our exclusive crypto trading group now: instagram-verify-account.live. Guaranteed returns, limited seats!",1,investment_scam
"You have received Rs 3,200 via UPI. To claim, open linkedin-jobs-apply.co and enter your UPI PIN to confirm receipt.",1,upi_payment_scam
"Hi Sana, just a heads up your bank statement shows a pending investment SIP deduction of $2,450 on the 5th as usual, nothing to action.",0,safe
"Reminder: performance review meeting with your manager is scheduled for by today 6 PM in Mumbai office, room 4B.",0,safe
"Notice from IRS: You owe $2,450 in unpaid taxes. Failure to pay immediately will result in legal action. Pay now at myaccount-securehelp.top",1,govt_impersonation
"Meera, here are the notes from today's class. Let me know if you have questions.",0,safe
URGENT: Your Paytm/GPay account will be deactivated within 24 hours. Verify by entering UPI PIN at myaccount-securehelp.top,1,upi_payment_scam
"Hi Priya, just a heads up your bank statement shows a pending investment SIP deduction of Rs 9,999 on the 5th as usual, nothing to action.",0,safe
Investment update: your quarterly mutual fund statement is now available to download from the Kotak Mahindra portal.,0,safe
"Thanks for your payment of $2,450. Your subscription has been renewed until next year.",0,safe
"You have received $75 via UPI. To claim, open irs-refund-claim.info and enter your UPI PIN to confirm receipt.",1,upi_payment_scam
"This is to inform you that a tax refund of $9,999 has been processed in your favor. Kindly confirm your account details at instagram-verify-account.live to receive the amount.",1,govt_impersonation
"hey have you heard about this new trading platform? my cousin doubled his savings in before midnight, group link is amaz0n-delivery-track.com if u wanna join",1,investment_scam
"Hi, this is Apple Support following up on a ticket regarding unusual activity on your iCloud account, could you confirm your Apple ID password so we can secure it for you?",1,tech_support_scam
DHL: Your package could not be delivered due to an incomplete address. Update your details and pay a redelivery fee at myaccount-securehelp.top,1,delivery_scam
"HR Team: Your application for Data Entry Executive has been approved. Send your bank details and a processing fee of Rs 3,200 to activate your offer letter.",1,job_scam
URGENT: Your Paytm/GPay account will be deactivated by tomorrow. Verify by entering UPI PIN at bit.ly/verify-now,1,upi_payment_scam
"Hi Meera, thanks for your interest in the Customer Support Associate role. To finalize onboarding, please send a one-time kit/training fee of Rs 1,00,000 to the link below and we'll get you started. paytm-cashback-offer.xyz",1,job_scam
"hey is this your number? sent $500 to you by accident on gpay, pls send back using this link amaz0n-delivery-track.com",1,upi_payment_scam
Reminder: Your gym membership renews automatically next week for $75. No action needed.,0,safe
"Reminder: performance review meeting with your manager is scheduled for within 30 minutes in Bangalore office, room 4B.",0,safe
Your parcel is on hold at customs. Pay a clearance fee of $75 at secure-update-bank.com to release it by today 6 PM.,1,delivery_scam
"Rahul, here are the notes from today's class. Let me know if you have questions.",0,safe
"Meera: Can you send me the report before end of day? It's urgent, the client meeting got moved up. Thanks!",0,safe
"Hi Emma, thanks for your interest in the Customer Support Associate role. To finalize onboarding, please send a one-time kit/training fee of $500 to the link below and we'll get you started. linkedin-jobs-apply.co",1,job_scam
"Hey David, don't forget we have the team meeting at 10am tomorrow. Bring your laptop, it's kind of urgent we finalize the slides.",0,safe
"You have received $2,450 via UPI. To claim, open secure-update-bank.com and enter your UPI PIN to confirm receipt.",1,upi_payment_scam
"Hi, this is regarding your Kotak Mahindra account review. Kindly complete the pending verification at http://acc0unt-verify.in at your convenience.",1,banking_scam
"We are pleased to introduce an exclusive investment opportunity offering consistent 30-40% monthly returns, backed by our proprietary trading algorithm. Minimum investment $9,999. Learn more at bit.ly/verify-now.",1,investment_scam
Welcome to the team! Your first day orientation for the Data Entry Executive role starts Monday at 9 AM in the New York office.,0,safe
"Our AI trading bot has a 98% win rate. Invest Rs 49,999 today and double it in a week. DM now for the link.",1,investment_scam
"Hi John, just a heads up your bank statement shows a pending investment SIP deduction of $500 on the 5th as usual, nothing to action.",0,safe
"My darling, I love you so much. I'm currently deployed overseas and need Rs 1,00,000 for an emergency medical fee before I can be discharged.",1,romance_scam
"Reminder: performance review meeting with your manager is scheduled for within 24 hours in New York office, room 4B.",0,safe
"David, following up on our call, the delivery for the Delhi office supplies should reach by Friday as planned.",0,safe
"This is to inform you that a tax refund of Rs 9,999 has been processed in your favor. Kindly confirm your account details at myaccount-securehelp.top to receive the amount.",1,govt_impersonation
Free $500 recharge for the first 100 users! Click hdfcbank-kyc-update.net and share with 10 friends to claim.,1,other
"PNB: Your account was credited with Rs 25,000 on 12-Aug-2026. Available balance: Rs 25,000. Thank you for banking with us.",0,safe
"Tom, I made Rs 3,200 in a month with this stock tip group, thought you might be interested too, here's the link if you want to check it out paytm-cashback-offer.xyz",1,investment_scam
Citibank: Your account was credited with $75 on 12-Aug-2026. Available balance: $75. Thank you for banking with us.,0,safe
"hey have you heard about this new trading platform? my cousin doubled his savings in before the offer closes, group link is linkedin-jobs-apply.co if u wanna join",1,investment_scam
Your account has violated our community guidelines and will be suspended. Verify your identity and password within within 24 hours at hdfcbank-kyc-update.net,1,account_takeover
Notice from IRS: You owe $500 in unpaid taxes. Failure to pay within 30 minutes will result in legal action. Pay now at bit.ly/verify-now,1,govt_impersonation
Congratulations! Your number has won $75 in the international lottery. Send your bank details to http://acc0unt-verify.in to claim your prize within 30 minutes.,1,lottery_scam
"John, I feel such a deep connection with you even though we've never met. I'm stuck at customs and need Rs 3,200 to come see you, please help.",1,romance_scam
URGENT: Your Paytm/GPay account will be deactivated before the offer closes. Verify by entering UPI PIN at amaz0n-delivery-track.com,1,upi_payment_scam
"ALERT: Your Bank of America debit card will be blocked before the offer closes. Click secure-update-bank.com and enter your card number, CVV and PIN to reactivate.",1,banking_scam
"Wells Fargo here. We noticed a login from a new device on your account. If this wasn't you, please confirm your details at secure-update-bank.com.",1,banking_scam
Your Microsoft 365 password expires in the next 2 hours. Click hdfcbank-kyc-update.net to keep the same password and avoid data loss.,1,phishing
"Emma, I think I sent you Rs 25,000 by mistake on UPI, could you refund it by scanning this code and entering your PIN? bit.ly/verify-now",1,upi_payment_scam
Bank of America: A/C temp. locked. Re-verify at irs-refund-claim.info,1,banking_scam
Your Instagram account will be permanently deleted within 24 hours due to a copyright violation. Verify your account and password at hdfcbank-kyc-update.net to appeal.,1,account_takeover
"Turn $75 into $75 in 7 days! Join our exclusive crypto trading group now: hdfcbank-kyc-update.net. Guaranteed returns, limited seats!",1,investment_scam
Your Windows license has expired and your device is at risk. Download this tool from http://acc0unt-verify.in to renew immediately.,1,tech_support_scam
"Sarah, following up on our call, the delivery for the New York office supplies should reach by Friday as planned.",0,safe
"HR Team: Your application for Social Media Assistant has been approved. Send your bank details and a processing fee of $2,450 to activate your offer letter.",1,job_scam
Click here to view your boarding pass for tomorrow's flight: myairline.com/mybookings (official airline site).,0,safe
"This is to inform you that a tax refund of Rs 49,999 has been processed in your favor. Kindly confirm your account details at http://acc0unt-verify.in to receive the amount.",1,govt_impersonation
"Tom, I think I sent you $500 by mistake on UPI, could you refund it by scanning this code and entering your PIN? amaz0n-delivery-track.com",1,upi_payment_scam
"Dear Customer,

Your recent order is currently held at our Chicago facility due to an outstanding customs duty of Rs 25,000. Please settle this amount at your earliest convenience to release your shipment.

linkedin-jobs-apply.co

DHL Logistics",1,delivery_scam
"Dear Candidate,

We are pleased to inform you that you have been selected for the position of Customer Support Associate at our New York branch. To proceed with your appointment, a refundable security deposit of Rs 1,00,000 is required.

Regards,
Hiring Team",1,job_scam
"HR Team: Your application for Data Entry Executive has been approved. Send your bank details and a processing fee of $2,450 to activate your offer letter.",1,job_scam
"Hey it's Rahul from PNB support, saw some odd activity on your account, can you just confirm your card details here amaz0n-delivery-track.com?",1,banking_scam
Notice: A pending cashback of $150 is linked to your wallet. Complete the claim process by linking your UPI PIN here: hdfcbank-kyc-update.net before within 30 minutes.,1,upi_payment_scam
"hey is this your number? sent Rs 3,200 to you by accident on gpay, pls send back using this link bit.ly/verify-now",1,upi_payment_scam
"Reminder: performance review meeting with your manager is scheduled for within 30 minutes in New York office, room 4B.",0,safe
URGENT: Your Paytm/GPay account will be deactivated in the next 2 hours. Verify by entering UPI PIN at amaz0n-delivery-track.com,1,upi_payment_scam
Your Microsoft 365 password expires before the offer closes. Click http://acc0unt-verify.in to keep the same password and avoid data loss.,1,phishing
"Notice: A pending cashback of Rs 25,000 is linked to your wallet. Complete the claim process by linking your UPI PIN here: hdfcbank-kyc-update.net before in the next 2 hours.",1,upi_payment_scam
"Dear Valued Customer,

As part of our routine security review, we have identified irregular activity associated with your HDFC Bank account. To ensure uninterrupted access to your banking services, we kindly request you to complete a short identity verification process in the next 2 hours.

Please proceed here: amaz0n-delivery-track.com

Thank you for your cooperation.
Customer Care Team",1,banking_scam
Your account has violated our community guidelines and will be suspended. Verify your identity and password within before the offer closes at myaccount-securehelp.top,1,account_takeover
Your monthly statement for HDFC Bank is now available in the mobile app under Statements.,0,safe
Amazon: Your order has been shipped and is expected to arrive by Thursday. Track it in the app under 'My Orders'.,0,safe
"hey have you heard about this new trading platform? my cousin doubled his savings in this week, group link is linkedin-jobs-apply.co if u wanna join",1,investment_scam
Your SBI card ending 4521 was used for a purchase of $150 at a local store today.,0,safe
We detected a login attempt to your Facebook account from an unrecognized device. Confirm your password at amaz0n-delivery-track.com immediately or lose access.,1,account_takeover
"ICICI Bank: Your account was credited with Rs 9,999 on 12-Aug-2026. Available balance: Rs 9,999. Thank you for banking with us.",0,safe
Investment update: your quarterly mutual fund statement is now available to download from the Citibank portal.,0,safe
You've been selected as the lucky winner of the Amazon anniversary lottery worth $150. Claim now at linkedin-jobs-apply.co,1,lottery_scam
"Axis Bank here. We noticed a login from a new device on your account. If this wasn't you, please confirm your details at bit.ly/verify-now.",1,banking_scam
"Turn $500 into $500 in 7 days! Join our exclusive crypto trading group now: linkedin-jobs-apply.co. Guaranteed returns, limited seats!",1,investment_scam
Your Microsoft 365 password expires in the next 2 hours. Click irs-refund-claim.info to keep the same password and avoid data loss.,1,phishing
"Dear Customer,

Your recent order is currently held at our Chicago facility due to an outstanding customs duty of Rs 1,00,000. Please settle this amount at your earliest convenience to release your shipment.

amaz0n-delivery-track.com

Amazon Logistics",1,delivery_scam
HR Team: Your application for Social Media Assistant has been approved. Send your bank details and a processing fee of $75 to activate your offer letter.,1,job_scam
Your appointment with Dr. Mehta is confirmed for Friday at 4:30 PM. Reply CONFIRM to keep this slot.,0,safe
"David, I feel such a deep connection with you even though we've never met. I'm stuck at customs and need $2,450 to come see you, please help.",1,romance_scam
Your Microsoft 365 password expires immediately. Click secure-update-bank.com to keep the same password and avoid data loss.,1,phishing
"I know we just started talking but I really feel like you understand me. Something came up with my visa paperwork, would you be able to help with Rs 9,999? I'll pay you back I promise.",1,romance_scam
"Hey it's David from Kotak Mahindra support, saw some odd activity on your account, can you just confirm your card details here linkedin-jobs-apply.co?",1,banking_scam
"hey have you heard about this new trading platform? my cousin doubled his savings in within 24 hours, group link is secure-update-bank.com if u wanna join",1,investment_scam
"Hi Anjali, are we still meeting for lunch tomorrow at 1pm?",0,safe
Notice: A pending cashback of $500 is linked to your wallet. Complete the claim process by linking your UPI PIN here: instagram-verify-account.live before before midnight.,1,upi_payment_scam
Welcome to the team! Your first day orientation for the Customer Support Associate role starts Monday at 9 AM in the Pune office.,0,safe
hey are you around this weekend? thinking of heading to New York for a short trip,0,safe
Free $150 recharge for the first 100 users! Click myaccount-securehelp.top and share with 10 friends to claim.,1,other
UPS: Your order has been shipped and is expected to arrive by Thursday. Track it in the app under 'My Orders'.,0,safe
"ALERT: Your HDFC Bank debit card will be blocked before midnight. Click secure-update-bank.com and enter your card number, CVV and PIN to reactivate.",1,banking_scam
"Dear Valued Customer,

As part of our routine security review, we have identified irregular activity associated with your Chase Bank account. To ensure uninterrupted access to your banking services, we kindly request you to complete a short identity verification process in the next 2 hours.

Please proceed here: linkedin-jobs-apply.co

Thank you for your cooperation.
Customer Care Team",1,banking_scam
"hii, ur number got picked in our by today 6 PM giveaway, u won $500, just fill this form to claim hdfcbank-kyc-update.net",1,lottery_scam
Reminder: Your electricity bill of $75 is due on 25th. Pay via the official app or website to avoid late fees.,0,safe
"My darling, I love you so much. I'm currently deployed overseas and need Rs 49,999 for an emergency medical fee before I can be discharged.",1,romance_scam
Your prescription is ready for pickup at the pharmacy. Store hours are 9 AM to 9 PM.,0,safe
"Reminder: performance review meeting with your manager is scheduled for by today 6 PM in Delhi office, room 4B.",0,safe
"Sarah, following up on our call, the delivery for the Austin office supplies should reach by Friday as planned.",0,safe
"Reminder: performance review meeting with your manager is scheduled for immediately in Delhi office, room 4B.",0,safe
"hi this is regarding your recent account review, we just need you to confirm your password to keep things active",1,account_takeover
"Our AI trading bot has a 98% win rate. Invest Rs 25,000 today and double it in a week. DM now for the link.",1,investment_scam
This is an official notice from the Income Tax Department. You have a pending refund of $500. Verify your PAN and bank details at myaccount-securehelp.top,1,govt_impersonation
"Hi Amit, just a heads up your bank statement shows a pending investment SIP deduction of Rs 25,000 on the 5th as usual, nothing to action.",0,safe
"Your parcel is on hold at customs. Pay a clearance fee of Rs 3,200 at irs-refund-claim.info to release it before midnight.",1,delivery_scam
"You have received $500 via UPI. To claim, open irs-refund-claim.info and enter your UPI PIN to confirm receipt.",1,upi_payment_scam
"Hi David, are we still meeting for lunch tomorrow at 1pm?",0,safe
"Dear Valued Customer,

As part of our routine security review, we have identified irregular activity associated with your PNB account. To ensure uninterrupted access to your banking services, we kindly request you to complete a short identity verification process within 24 hours.

Please proceed here: instagram-verify-account.live

Thank you for your cooperation.
Customer Care Team",1,banking_scam
"Dear Valued Customer,

As part of our routine security review, we have identified irregular activity associated with your SBI account. To ensure uninterrupted access to your banking services, we kindly request you to complete a short identity verification process by today 6 PM.

Please proceed here: paytm-cashback-offer.xyz

Thank you for your cooperation.
Customer Care Team",1,banking_scam
"You've been selected as the lucky winner of the India Post anniversary lottery worth $9,999. Claim now at linkedin-jobs-apply.co",1,lottery_scam
"Notice from IRS: You owe $2,450 in unpaid taxes. Failure to pay within 30 minutes will result in legal action. Pay now at linkedin-jobs-apply.co",1,govt_impersonation
"Your Bank of America card ending 4521 was used for a purchase of Rs 25,000 at a local store today.",0,safe
"Notice: A pending cashback of Rs 1,00,000 is linked to your wallet. Complete the claim process by linking your UPI PIN here: paytm-cashback-offer.xyz before by tomorrow.",1,upi_payment_scam
"hii, ur number got picked in our by tomorrow giveaway, u won $9,999, just fill this form to claim myaccount-securehelp.top",1,lottery_scam
